img,name,no-hover href,funding-status,university,level,subjects,open-to,country,closing-date
https://www.scholarshipsads.com/files/Featured%20Images/USA/American%20University%20Emerging%20Global%20Leader%20Scholarship%20Fall%202025.png,American University Emerging Global Leader Scholarship Fall 2025,https://www.scholarshipsads.com/american-university-emerging-global-leader-scholarship-fall-2025/,Fully Funded,American University,Undergraduate,All Subjects,International Students,USA,1/15/2025
https://www.scholarshipsads.com/files/Featured%20Images/Australia/University%20of%20Technology%20Sydney%20presidens%20Scholarships%202025%20in%20Australia.png,University of Technology Sydney Presidents Scholarships 2025 in Australia,https://www.scholarshipsads.com/university-of-technology-sydney-scholarships-2025-in-australia-/,Partially funded,University of Technology Sydney,"MRes, PhD",All Subjects,International Students,Australia,1/15/2025
https://www.scholarshipsads.com/files/Featured%20Images/Australia/griffith_uni_scholarships_2024-25.jpg,Griffith University Australia Scholarships 2024-2025.,https://www.scholarshipsads.com/griffith-university-scholarships-2024-25-australia/,Tuition fee,Griffith University,"Undergraduate, Masters, PhD, Post Doctorate",All Subjects,"International Students, Domestic Students",Australia,8/10/2024
https://www.scholarshipsads.com/files/Featured%20Images/China/East%20China%20Normal%20University%20Shanghai%20University%20govt%20Scholarships%202024%20in%20China.png,East China Normal University Shanghai Government Scholarships 2024 in China,https://www.scholarshipsads.com/east-china-normal-university-shanghai-government-scholarships-2024-in-china-/,"Fully Funded, Partially funded",East China Normal University,Undergraduate,All Subjects,International Students,China,5/31/2024
https://www.scholarshipsads.com/files/Featured%20Images/UK/boston%20uni%20trustee%20scholarship%202024.png,Boston University Massachusetts Trustee Scholarships 2024/2025 in USA,https://www.scholarshipsads.com/boston-university-massachusetts-trustee-scholarships-20242025-in-usa/,Full tuition fee,Boston University,Undergraduate,All Subjects,International Students,USA,12/1/2024
https://www.scholarshipsads.com/files/Featured%20Images/China/Yanbian%20University%20Jilin%20Government%20Scholarships%202024%20in%20China.png,Yanbian University Jilin Government Scholarships 2024 in China,https://www.scholarshipsads.com/yanbian-university-jilin-government-scholarships-2024-in-china-/,Partially funded,Yanbian University,Masters,All Subjects,International Students,China,7/15/2024
https://www.scholarshipsads.com/files/Featured%20Images/Germany/CAS-DAAD%20Joint%20Fellowship%20Programme%202024%20in%20Germany.png,CAS-DAAD Joint Fellowship Programme 2024 in Germany,https://www.scholarshipsads.com/cas-daad-joint-fellowship-programme-2024-in-germany-/,Partially funded,Germany Universities,PhD,All Subjects,International Students,Germany,11/4/2024
https://www.scholarshipsads.com/files/Featured%20Images/Indonesia/Unissula%20-%20University%20of%20Islam%20Sultan%20Agung%20Scholarships%202024.png,Unissula - University of Islam Sultan Agung Scholarships 2024 in Indonesia,https://www.scholarshipsads.com/unissula-university-of-islam-sultan-agung-scholarships-2024-in-indonesia/,Partially funded,University of Islam Sultan Agung,"Undergraduate, Postgraduate",All Subjects,International Students,Indonesia,5/27/2024
https://www.scholarshipsads.com/files/Featured%20Images/malta/malta%20government%20scholarship%202024.png,Malta Government ENDEAVOUR II Scholarship (Study in Europe),https://www.scholarshipsads.com/malta-government-endeavour-ii-scholarship-2024-/,Partially funded,Malta Universities,Postgraduate,All Subjects,International Students,Malta,6/21/2024
https://www.scholarshipsads.com/files/Featured%20Images/Australia/ecu%20Western%20Australian%20Premiers%20University%20Scholarships%202024.png,ECU Western Australian Premiers University Scholarships 2024,https://www.scholarshipsads.com/ecu-western-australian-premiers-university-scholarships-2024/,"Partially funded, Full tuition fee",Edith Cowan University,"Postgraduate, Research",All Subjects,International Students,Australia,5/31/2024
https://www.scholarshipsads.com/files/Featured%20Images/Canada/government%20of%20canada%20banting%20scholarships%202024.png,Government of Canada Banting Postdoctoral Fellowships 2024,https://www.scholarshipsads.com/government-of-canada-banting-postdoctoral-fellowships-2024/,Partially funded,Canada Universities,Post Doctorate,"Natural Sciences, Social Sciences, Engineering, Humanities, Health Research",International Students,Canada,9/17/2024
https://www.scholarshipsads.com/files/Featured%20Images/colombia_/colombia_govt_scholarship.jpg,Colombia Government Scholarship 2024/2025 (Fully Funded and Without IELTS),https://www.scholarshipsads.com/colombia-government-fully-funded-scholarships-News/,Fully Funded,ICETEX - Colombian Institute of Educational Credit and Technical Studies Abroad,"Masters, PhD",All Subjects,International Students,Colombia,6/9/2024
https://www.scholarshipsads.com/files/Featured%20Images/uganda/makerere%20uni%20masterccard%20foundation%20scholarship.png,Makerere University Mastercard Foundation Scholarships 2024 (Fully Funded),https://www.scholarshipsads.com/makerere-university-mastercard-foundation-scholarships-2024-fully-funded/,Fully Funded,Makerere University,"Bachelor, Masters",All Subjects,International Students,Uganda,6/14/2024
https://www.scholarshipsads.com/files/Featured%20Images/Austria/Webster%20Vienna%20Private%20University%20Scholarships%20Fall%202024.png,Webster Vienna Private University Scholarships Fall 2024 in Austria,https://www.scholarshipsads.com/webster-vienna-private-university-scholarships-fall-2024-in-austria/,Partially funded,Webster Vienna Private University,"Bachelor, Masters",All Subjects,International Students,Austria,
https://www.scholarshipsads.com/files/Featured%20Images/USA/schlkumberger%20fellowships%202025.png,Schlumberger Foundation Faculty for the Future Fellowships 2025/2026,https://www.scholarshipsads.com/schlumberger-foundation-faculty-for-the-future-fellowships-20252026/,Partially funded,,"Post Doctorate, PhD, Research","Science, Engineering, Technology, Mathematics, Physics, Biology",International Students,Worldwide,11/10/2024
https://www.scholarshipsads.com/files/Featured%20Images/Germany/imu_fellowship_2024.png,International Mathematical Union (IMU) Breakout Graduate Fellowship 2024. (Fully Funded),https://www.scholarshipsads.com/international-mathematical-union-imu-breakout-graduate-fellowship-2024/,Fully Funded,,PhD,Mathematics,International Students,Worldwide,5/31/2024
https://www.scholarshipsads.com/files/Featured%20Images/Netherlands/amsterdam%20talent%20grant%20scholarship%202024.png,Amsterdam University of Arts Talent Grant Scholarships 2024 in Netherlands,https://www.scholarshipsads.com/amsterdam-university-of-arts-talent-grant-scholarships-2024-in-netherlands/,Partially funded,Amsterdam University of the Arts,"Bachelor, Masters",Arts,International Students,Netherlands,6/1/2024
https://www.scholarshipsads.com/files/Featured%20Images/USA/the%20world%20mcnamara%202025.png,Robert S. McNamara Fellowships The World Bank 2025,https://www.scholarshipsads.com/-the-world-bank-robert-s-mcnamara-fellowships-2025/,Partially funded,The World Bank,Fellowship,Banking and Finance,International Students,USA,2/25/2025
https://www.scholarshipsads.com/files/Featured%20Images/iiesrf_fellowships_2024.png,IIE-SRF Fully Funded Fellowships 2024-25 for International PhD Students.,https://www.scholarshipsads.com/iie-srf-fully-funded-fellowships-2024-25-international-phd-students/,Fully Funded,,"PhD, Fellowship",All Subjects,International Students,,
https://www.scholarshipsads.com/files/Featured%20Images/France/hfsp%20fellowship%202025.png,Human Frontier Science Program Postdoctoral Fellowships 2025/2026 (Fully Funded),https://www.scholarshipsads.com/human-frontier-science-program-postdoctoral-fellowships-20252026-fully-funded/,Fully Funded,,Fellowship,"Biology, Life Sciences, Physics, Chemistry, Mathematics, Engineering",International Students,Worldwide,9/26/2024
https://www.scholarshipsads.com/files/Featured%20Images/japan/adb_scholarships_2024-25.png,Government of Japan ADB Scholarship 2024. (Fully Funded),https://www.scholarshipsads.com/government-of-japan-adb-scholarship-2024-fully-funded/,Fully Funded,,Masters,All Subjects,International Students,Japan,
https://www.scholarshipsads.com/files/Featured%20Images/thailand/SIIT%20ADB-JSP%20Scholarships%202025%20in%20Thailand.png,SIIT ADB-JSP Scholarships 2025/2026 in Thailand (Fully Funded),https://www.scholarshipsads.com/siit-adb-jsp-scholarships-20252026-in-thailand/,Fully Funded,Sirindhorn International Institute of Technology,Masters,All Subjects,"International Students, Domestic Students",Thailand,11/30/2024
https://www.scholarshipsads.com/files/Featured%20Images/poland/poland_nawa_scholarshhip_2024-2025.png,Poland Government NAWA Scholarships 2024/2025.,https://www.scholarshipsads.com/poland-government-nawa-scholarships-20242025/,Fully Funded,Poland Universities,Bachelor,"Engineering, Agricultural Sciences, Life Sciences, Technical Sciences, Exact Sciences",International Students,Poland,6/21/2024
https://www.scholarshipsads.com/files/Featured%20Images/Netherlands/Delft%20University%20of%20Technology%20QuTech%20Scholarship%202024%20in%20Netherlands.png,Delft University of Technology QuTech Scholarship 2024 in Netherlands,https://www.scholarshipsads.com/delft-university-of-technology-qutech-scholarship-2024-in-netherlands/,Full tuition fee,Delft University of Technology,Masters,"Applied Physics, Computer Science, Electrical Engineering, Computer Engineering, Embedded Systems, Quantum Information Science & Technology",International Students,Netherlands,12/1/2024
https://www.scholarshipsads.com/files/Featured%20Images/UK/uni%20of%20sussex%20master%20chancellor%20scholarship%202024.png,University of Sussex Chancellors Masters Scholarship 2024 in the UK,https://www.scholarshipsads.com/university-of-sussex-chancellors-masters-scholarship-2024-in-the-uk/,Partially funded,University of Sussex,Masters,All Subjects,International Students,UK,8/1/2024
https://www.scholarshipsads.com/files/Featured%20Images/colombia_/colfuturo%20scholarships%202024.png,COLFUTURO Postgraduate Scholarships 2025/2026 (Fully Funded),https://www.scholarshipsads.com/colfuturo-postgraduate-scholarships-20252026-fully-funded/,"Fully Funded, Partially funded",,Postgraduate,All Subjects,International Students,"UK, USA, Europe, Germany, Australia, Canada",2/28/2025
https://www.scholarshipsads.com/files/Featured%20Images/Germany/daad%20bridge%20scholarships%202024.png,DAAD-Bridge Scholarships 2024/2025 in Germany (Fully Funded),https://www.scholarshipsads.com/daad-bridge-scholarships-20242025-in-germany-fully-funded/,Fully Funded,Germany Universities,"PhD, Research",All Subjects,International Students,Germany,9/29/2024
https://www.scholarshipsads.com/files/Featured%20Images/UK/university%20of%20liverpool%20phd%20scholarships%202024.png,University of Liverpool PhD Scholarships 2024 (Fully Funded),https://www.scholarshipsads.com/university-of-liverpool-phd-scholarships-2024-engineering-and-planning/,Fully Funded,University of Liverpool,PhD,Engineering and Planning,International Students,UK,5/20/2024
https://www.scholarshipsads.com/files/Featured%20Images/Canada/fairomics%20phd%20postions%20europe.png,FAIROmics-Marie Curie Actions PhD Positions 2024 in Europe,https://www.scholarshipsads.com/fairomics-marie-curie-actions-phd-positions-2024-in-europe/,Partially funded,,PhD,"Life Sciences, Artificial Intelligence, Humanities, Social Sciences",International Students,Europe,
https://www.scholarshipsads.com/files/Featured%20Images/Canada/universy%20of%20winnipeg%20presidents%20scholarships%202024.png,University of Winnipeg Presidents Scholarships 2024 in Canada,https://www.scholarshipsads.com/university-of-winnipeg-presidents-scholarships-2024-in-canada-/,Partially funded,University of Winnipeg,Masters,All Subjects,International Students,Canada,6/1/2024
https://www.scholarshipsads.com/files/Featured%20Images/Germany/daad%20empm%20scholarship%202204.png,DAAD-EMPM Scholarship 2024 in Germany (Fully Funded),https://www.scholarshipsads.com/daad-empm-scholarship-2024-in-germany-fully-funded/,Fully Funded,Germany Universities,"Masters, Bachelor",All Subjects,International Students,Germany,7/2/2024
https://www.scholarshipsads.com/files/Featured%20Images/China/hubei%20%20govt%20scholarships%20china%202024.png,Hubei Government Scholarships for International Students in China 2024,https://www.scholarshipsads.com/hubei-government-scholarship-china/,Partially funded,China Universities,"Undergraduate, Masters, PhD",All Subjects,International Students,China,
https://www.scholarshipsads.com/files/Featured%20Images/Germany/DAAD%20Scholarships%20Bilateral%20Exchange%20of%20Academics%202025%20in%20Germany.png,DAAD Scholarships Bilateral Exchange of Academics 2025/2026 in Germany,https://www.scholarshipsads.com/daad-scholarships-bilateral-exchange-of-academics-20252026-in-germany/,Partially funded,Germany Universities,"Post Doctorate, Research",All Subjects,International Students,Germany,2/15/2025
https://www.scholarshipsads.com/files/Featured%20Images/Germany/daad_helmut-schmidt__germany_masters_public_policy_scholarships.png,DAAD Helmut-Schmidt-Program for Master’s Scholarships in Germany (Fully Funded),https://www.scholarshipsads.com/daad-helmut-schmidt-program-for-masters-scholarships-in-germany-fully-funded/,Fully Funded,Masters,"Public Policy, Good Governance",International Students,Germany,,
https://www.scholarshipsads.com/files/Featured%20Images/Indonesia/ums_indonesia_scholarship_2024.png,"UMS International Priority Scholarship 2024-25, Indonesia. (Fully Funded)",https://www.scholarshipsads.com/ums-international-priority-scholarship-2024-25-indonesia-fully-funded/,Fully Funded,University of Muhammadiyah Surakarta,"Undergraduate, Postgraduate",All Subjects,International Students,Indonesia,5/15/2024
https://www.scholarshipsads.com/files/Featured%20Images/italy/palermo%20scholarships%202024.png,University of Palermo Scholarships 2024 in Italy (Without IELTS),https://www.scholarshipsads.com/university-of-palermo-scholarships-2024-in-italy-without-ielts/,Partially funded,University of Palermo,Masters,"Data Science, Artificial Intelligence, Neurosciences, electronic engineering, Tourism, International Relations",International Students,Italy,
https://www.scholarshipsads.com/files/Featured%20Images/UK/University%20of%20Birmingham%20CENTRE-UB%20PhD%20Studentship%202024%20in%20UK.png,University of Birmingham CENTRE-UB PhD Studentship 2024 in UK,https://www.scholarshipsads.com/university-of-birmingham-centre-ub-phd-studentship-2024-in-uk/,Partially funded,University of Birmingham,PhD,"Behavioral Sciences, Human Behavior",International Students,UK,5/16/2024
https://www.scholarshipsads.com/files/Featured%20Images/UK/Brunel%20University%20London%20Vice-Chancellor%20Excellence%20Scholarship%202024%20in%20the%20UK.png,Brunel University London Vice-Chancellor Excellence Scholarship 2024 in the UK,https://www.scholarshipsads.com/brunel-university-london-vice-chancellor-excellence-scholarship-2024-in-the-uk/,Partially funded,Brunel University London,Postgraduate,All Subjects,International Students,UK,7/31/2024
https://www.scholarshipsads.com/files/Featured%20Images/japan/AYF%20Fellowships%202024.png,AYF Fellowships 2024 in Japan (Fully Funded),https://www.scholarshipsads.com/ayf-fellowships-2024-in-japan-fully-funded/,Fully Funded,,Fellowship,"Arts, Music, Marketing, Health, Technology, Art and Design",International Students,Japan,5/31/2024
https://www.scholarshipsads.com/files/Featured%20Images/japan/Korea%20University%20KU%20Gobal%20Scholarship%202024.png,Korea University Global KU Scholarships Fall 2024 in South Korea,https://www.scholarshipsads.com/korea-university-global-ku-scholarships-fall-2024-in-south-korea-/,Partially funded,Korea University,Masters,All Subjects,International Students,South Korea,7/31/2024
https://www.scholarshipsads.com/files/Featured%20Images/turkey/Sabanci%20uni%20graduate%20scholarships%202024.png,Sabanci University Graduate Scholarships 2024 in Turkey (Fully Funded),https://www.scholarshipsads.com/sabanci-university-graduate-scholarships-2024-in-turkey-fully-funded/,Fully Funded,Sabancı University,"Masters, PhD",All Subjects,International Students,Turkey,5/31/2024
https://www.scholarshipsads.com/files/Featured%20Images/Germany/DAAD%20ERP%20Scholarship%202025.png,DAAD-ERP Study Scholarships 2025/2026 in Germany (Fully Funded),https://www.scholarshipsads.com/daad-erp-study-scholarships-20252026-in-germany-fully-funded/,Fully Funded,Germany Universities,Masters,"Economics, Business Administration",International Students,Germany,10/31/2024
https://www.scholarshipsads.com/files/Featured%20Images/Germany/DAAD%20Research%20grants%20scholarship2024.png,DAAD Research Grants Scholarship 2024 in Germany (Fully Funded),https://www.scholarshipsads.com/daad-research-grants-scholarship-2024-in-germany-fully-funded/,Fully Funded,Germany Universities,PhD,All Subjects,International Students,Germany,8/31/2024
https://www.scholarshipsads.com/files/Featured%20Images/China/schwarzman_scholarship_china_2024.png,"Tsinghua University Schwarzman Scholarship 2024-25, China. (Fully Funded)",https://www.scholarshipsads.com/tsinghua-university-schwarzman-scholarship-2024-25-china-fully-funded/,Fully Funded,Tsinghua University,Masters,"Global Affairs, Leadership, Business and Economics, Public Policy, International Studies",International Students,China,9/20/2024
https://www.scholarshipsads.com/files/Featured%20Images/south_korea/POSTECH%20Scholarship%202024.png,POSTECH Summer Program 2024 in South Korea,https://www.scholarshipsads.com/postech-summer-program-2024-in-south-korea-/,Partially funded,Pohang University of Science and Technology (POSTECH),"Undergraduate, Graduate",All Subjects,International Students,South Korea,5/10/2024
https://www.scholarshipsads.com/files/Featured%20Images/UK/The%20said%20foundation%20scholarships%202025.png,Said Foundation Scholarships 2025/2026 in the UK (Fully Funded),https://www.scholarshipsads.com/said-foundation-scholarships-20252026-in-uk/,Fully Funded,UK Universities,Masters,All Subjects,International Students,UK,
https://www.scholarshipsads.com/files/Featured%20Images/japan/Kyushu%20University%20Fukuoka%20Satooya%20Scholarships%202024%20in%20Japan.png,Kyushu University Fukuoka Satooya Scholarships 2024 in Japan,https://www.scholarshipsads.com/kyushu-university-fukuoka-satooya-scholarships-2024-in-japan/,Partially funded,Kyushu University,"Bachelor, Masters, PhD",All Subjects,International Students,Japan,5/15/2024
https://www.scholarshipsads.com/files/Featured%20Images/Australia/bond_uni_scholarship_hdr.png,Bond University Australia Scholarships for 2024.,https://www.scholarshipsads.com/hdr-scholarships-at-bond-university-australia/,Fully Funded,Bond University,PhD,All Subjects,"International Students, Domestic Students",Australia,
https://www.scholarshipsads.com/files/Featured%20Images/UK/university%20of%20bolton%20academic%20excellence%20scholarships%202024.png,University of Bolton Academic Excellence Scholarships 2024 in the UK,https://www.scholarshipsads.com/university-of-bolton-academic-excellence-scholarships-2024-in-the-uk/,Partially funded,University of Bolton,"Bachelor, Masters, PhD",All Subjects,International Students,UK,
https://www.scholarshipsads.com/files/Featured%20Images/jordan/university%20of%20jordan%20scholarships%202024.png,The University of Jordan Scholarships for International Students 2024,https://www.scholarshipsads.com/the-university-of-jordan-scholarships-for-international-students-2024-in-jordan/,Partially funded,The University of Jordan,"Undergraduate, Postgraduate",All Subjects,"Domestic Students, International Students",Jordan,
https://www.scholarshipsads.com/files/Featured%20Images/uae/university%20of%20sharjah%20scholarships%202024.png,University of Sharjah Scholarships Fall 2024/2025 in UAE,https://www.scholarshipsads.com/university-of-sharjah-scholarships-fall-20242025-in-uae/,Tuition fee,University of Sharjah,Undergraduate,All Subjects,"International Students, Domestic Students",UAE,8/12/2024
https://www.scholarshipsads.com/files/Featured%20Images/Germany/max%20plank%20rseearch%20Scholarships%202024.png,IMPRS-CBP Max Plank Research Scholarship 2024 in Germany (Fully Funded),https://www.scholarshipsads.com/-imprs-cbp-max-plank-research-scholarship-2024-in-germany-fully-funded/,Fully Funded,International Max Planck Research School on Cellular Biophysics (IMPRS-CBP),PhD,Cellular Biophysics,International Students,Germany,5/15/2024
https://www.scholarshipsads.com/files/2024/05/Chalmers_university_of_technology_phd_in_graph_modeling.jpg,Chalmers University of Technology Announces PhD Student Position in Graph Modification,https://www.scholarshipsads.com/chalmers-university-of-technology-announces-phd-student-position-in-graph-modification/,Fully Funded,Chalmers University of Technology,PhD,Graph Modification,International Students,Sweden,5/21/2024
https://www.scholarshipsads.com/files/2024/04/japanese_government_mext_research_scholarship_2025.png,Japanese Government MEXT Research Scholarships 2025 For Masters and PhD (Fully Funded),https://www.scholarshipsads.com/japanese-government-mext-research-scholarships-2025-for-masters-and-phd-fully-funded/,Fully Funded,Japan Universities,"Masters, PhD",All Subjects,International Students,Japan,5/10/2024
https://www.scholarshipsads.com/files/2024/04/University_of_Otago_Masters_Research_Scholarshio_2024.png,University of Otago Research Masters Scholarship 2024 in New Zealand,https://www.scholarshipsads.com/university-of-otago-research-masters-scholarship-2024-in-new-zealand/,Partially funded,University of Otago,"Masters, Research",All Subjects,International Students,New Zealand,
https://www.scholarshipsads.com/files/2024/04/university_of_otago_coursework_masters_scholarship_2024.png,University of Otago Coursework Masters Scholarship 2024 in New Zealand,https://www.scholarshipsads.com/university-of-otago-coursework-masters-scholarship-2024-in-new-zealand-/,Partially funded,University of Otago,Masters,All Subjects,International Students,New Zealand,
https://www.scholarshipsads.com/files/2024/04/syau_freshman_scholarships_2024.png,Shenyang Agriculture University (SYAU) Freshman Scholarships 2024 in China,https://www.scholarshipsads.com/shenyang-agriculture-university-syau-freshman-scholarships-2024-in-china/,Partially funded,Shenyang Agriculture University,"Bachelor, Masters, PhD",All Subjects,International Students,China,5/2/2024
https://www.scholarshipsads.com/files/2024/04/o_shaugnessy_fellowships_2024.png,"OShaughnessy Remote Fellowships 2024 (Grants Up to $100,000)",https://www.scholarshipsads.com/oshaughnessy-remote-fellowships-2024-grants-up-to-100000/,Award,,Fellowship,All Subjects,International Students,Worldwide,
https://www.scholarshipsads.com/files/2024/04/university_of_leicester_summer_scholarships_2024.png,University of Leicester International Summer Scholarships 2024 in UK,https://www.scholarshipsads.com/university-of-leicester-international-summer-scholarships-2024-in-uk/,Tuition fee,University of Leicester,"Short Training, certification course",All Subjects,International Students,UK,5/23/2024
https://www.scholarshipsads.com/files/Featured%20Images/Germany/daad_epos_courses_2024.png,DAAD Scholarships in Germany 2025-2026 (Fully Funded),https://www.scholarshipsads.com/daad-scholarships-in-germany-development-related-courses-epos-2025-2026/,Fully Funded,Germany Universities,"Masters, PhD",All Subjects,International Students,Germany,
https://www.scholarshipsads.com/files/Featured%20Images/UK/international_awards_greenwich.png,University of Greenwich UK International Scholarship Award 2024,https://www.scholarshipsads.com/university-of-greenwich-uk-international-scholarship-award-2024/,Partially funded,University of Greenwich UK,"Undergraduate, Postgraduate",All Subjects,International Students,UK,8/19/2024
https://www.scholarshipsads.com/files/Featured%20Images/italy/University%20of%20Siena%20Scholarships.jpg,Siena International Excellence Scholarships Italy for Academic Year 2024/2025,https://www.scholarshipsads.com/siena-international-excellence-scholarships-italy-for-academic-year-20242025/,Partially funded,University of Siena,Masters,"Economics, Finance, Languages, Public and Cultural Diplomacy, Biotechnology in Human Reproduction, Applied Mathematics",International Students,Italy,
https://www.scholarshipsads.com/files/2024/04/sapienza_uni_of_rome_scholarships_2024.png,Sapienza University of Rome Scholarships 2024/2025 in Italy,https://www.scholarshipsads.com/sapienza-university-of-rome-scholarships-20242025-in-italy-/,"Partially funded, Fully Funded, Tuition fee",Sapienza University of Rome,"Bachelor, Masters",All Subjects,International Students,Italy,7/29/2024
https://www.scholarshipsads.com/files/2024/04/bucharest_summer_uni_2024.png,Bucharest Summer University 2024 in Romania (Fully Funded),https://www.scholarshipsads.com/bucharest-summer-university-2024-in-romania-fully-funded/,Fully Funded,Bucharest Summer University,Summer Camp,All Subjects,International Students,Romania,5/20/2024
https://www.scholarshipsads.com/files/2024/04/npu_president_scholarship_2024.png,Northwestern Polytechnical University President Scholarship 2024 in China (Fully Funded),https://www.scholarshipsads.com/npu-president-scholarship-2024-in-china-fully-funded/,"Partially funded, Fully Funded",Northwestern Polytechnical University,"Bachelor, Masters, PhD",All Subjects,International Students,China,5/15/2024
https://www.scholarshipsads.com/files/2024/04/University_of_cagliari_scholarships_2024_phd_positions.png,University of Cagliari is Offering 98 Funded PhD Positions in 2024 (Study in Italy),https://www.scholarshipsads.com/university-of-cagliari-is-offering-98-funded-phd-positions-in-2024-study-in-italy/,Partially funded,University of Cagliari,PhD,"legal sciences, economics and business, History, cultural heritage, International Studies, Strategic Innovation Management",International Students,Italy,4/30/2024
https://www.scholarshipsads.com/files/2024/04/kazakhstan_scholarship.png,Kazakhstan Government - ENIC Kazakhstan Scholarships 2024 (Fully Funded),https://www.scholarshipsads.com/kazakhstan-government-enic-kazakhstan-scholarships-2024-fully-funded/,Fully Funded,Kazakhstan Universities,"Bachelor, Masters, PhD",All Subjects,International Students,Kazakhstan,5/31/2024
https://www.scholarshipsads.com/files/2024/04/njust_chinese_govt_silk_road_scholarship_2024_1.png,NJSUT Silk Road Chinese Government Scholarships for Non-Chinese Students,https://www.scholarshipsads.com/njsut-silk-road-chinese-government-scholarships-for-non-chinese-citizens/,Fully Funded,Nanjing University of Science and Technology (NJUST),"Masters, PhD",All Subjects,International Students,China,5/20/2024
https://www.scholarshipsads.com/files/2024/04/arqus_uni_scholarships_europe_2024.png,Arqus European University Talent Scholarship Fund 2024 (Study Free in Europe),https://www.scholarshipsads.com/arqus-european-university-talent-scholarship-fund-2024-study-free-in-europe/,Partially funded,,Masters,All Subjects,International Students,Europe,6/30/2024
https://www.scholarshipsads.com/files/2024/04/matsumae_internatioan_fellowship.png,Matsumae International Fellowship 2025 in Japan (Fully Funded),https://www.scholarshipsads.com/matsumae-international-fellowship-2025-in-japan-fully-funded/,Fully Funded,Japan Universities,Fellowship,"Medicine, Engineering, Natural Sciences",International Students,Japan,6/30/2024
https://www.scholarshipsads.com/files/2024/04/danish_govt_scholarships_uni_of_copenhagen_1.png,University of Copenhagen Danish Government Scholarships 2024 in Denmark,https://www.scholarshipsads.com/university-of-copenhagen-danish-government-scholarships-2024-in-denmark/,Partially funded,University of Copenhagen,Masters,"Social Sciences, Humanities, Health and Medicine, Science, Theology",International Students,Denmark,9/1/2024
https://www.scholarshipsads.com/files/2024/04/uni_of_pavia_cicop_scholarship.png,University of Pavia CICOPS Scholarship 2025 in Italy,https://www.scholarshipsads.com/university-of-pavia-cicops-scholarship-2025-in-italy/,Partially funded,University of Pavia,Research,All Subjects,International Students,Italy,5/31/2024
https://www.scholarshipsads.com/files/2024/04/southwest_uni_chinese_government_scholarship_2024.png,Southwest University Chinese Government Scholarships 2024 (Fully Funded),https://www.scholarshipsads.com/southwest-university-chinese-government-scholarships-2024-/,Fully Funded,Southwest University,PhD,Pharmaceutical Sciences,International Students,China,6/7/2024
https://www.scholarshipsads.com/files/Featured%20Images/japan/Manga%20awards%20japan.jpg,MANGA Award Japan 2024 for International Students,https://www.scholarshipsads.com/manga-award-japan-2024-for-international-students/,Partially funded,Japan Universities,certification course,"Cartoon, Manga Art",International Students,Japan,7/5/2024
https://www.scholarshipsads.com/files/2024/04/Monash_University_RTP_Scholarships_2024.png,Monash University Australian Government RTP Scholarships 2024/2025,https://www.scholarshipsads.com/monash-university-australian-government-rtp-scholarships-20242025-/,Partially funded,Monash University,"Masters, PhD",All Subjects,"International Students, Domestic Students",Australia,10/31/2024
https://www.scholarshipsads.com/files/2024/04/sao_paulo_scholarships_2024.png,Federal University of Sao Paulo (USP) Scholarships 2024,https://www.scholarshipsads.com/federal-university-of-sao-paulo-usp-scholarships-2024-in-brazil/,Partially funded,Federal University of Sao Paulo,"Masters, PhD",Engineering,"International Students, Domestic Students",Brazil,5/24/2024
https://www.scholarshipsads.com/files/Featured%20Images/Australia/ASEAN%20Australia%20Awards%202024.png,ASEAN Australia Awards Scholarships 2025 (Fully Funded),https://www.scholarshipsads.com/asean-australia-awards-scholarships-2025-fully-funded/,Fully Funded,Australian Universities,Masters,All Subjects,International Students,Australia,4/30/2024
https://www.scholarshipsads.com/files/2024/04/mis_schoalrship_2025.png,MIS Scholarships 2025 for International Students in Malaysia,https://www.scholarshipsads.com/malaysia-international-scholarships-mis-2025-for-international-students/,Full tuition fee,Malaysia Universities,"PhD, Masters",All Subjects,International Students,Malaysia,
https://www.scholarshipsads.com/files/Featured%20Images/Australia/FLinders%20UNi%20RTP%20Scholarships.png,Flinders University Australian Government RTP Scholarships (AGRTPS) 2024,https://www.scholarshipsads.com/flinders-university-australian-government-rtp-scholarships-agrtps-2024-/,Partially funded,Flinders University,"Research, Masters, PhD",All Subjects,International Students,Australia,8/18/2024
https://www.scholarshipsads.com/files/Featured%20Images/poland/finland%20govt%20scholarships%202025.png,Finland Government Scholarships 2025 (Study in Finland),https://www.scholarshipsads.com/finland-government-scholarships-2025/,Partially funded,Finland Universities,"Bachelor, Masters, PhD",All Subjects,International Students,Finland,1/22/2025
