img,name,no-hover href,funding-status,university,level,subjects,open-to,country,closing-date
https://www.scholarshipsads.com/files/Featured%20Images/New%20Zealand/government_of_new_zealand_global_research_alliance_doctoral_scholarship.jpg,Government of New Zealand - Global Research Alliance Doctoral Scholarships (NZ-GRADS) - 2022 Special Round,https://www.scholarshipsads.com/government-of-new-zealand-global-research-alliance-doctoral-scholarships-nz-grads-2022-special-round/,Partially funded,New Zealand Universities,PhD,"Agriculture, Agricultural Sciences","International Students, Developing Countries",New Zealand,9/30/2022
https://www.scholarshipsads.com/files/Featured%20Images/south_korea/chonnam_national_university_global_scholarship.jpg,Chonnam National University Gwangju South Korea Global Scholarship (Graduate) 2023,https://www.scholarshipsads.com/chonnam-national-university-gwangju-south-korea-global-scholarship-graduate-2023/,Partially funded,Chonnam National University,Graduate,All Subjects,International Students,South Korea,
https://www.scholarshipsads.com/files/Featured%20Images/norway/university_of_stavanger_phd_fellowship_in_computer_science.jpg,University of Stavanger Norway Phd Fellowship in Computer Science 2022/2023,https://www.scholarshipsads.com/university-of-stavanger-norway-phd-fellowship-in-computer-science-20222023/,Partially funded,University of Stavanger,PhD,Computer Science,International Students,Norway,7/31/2022
https://www.scholarshipsads.com/files/Featured%20Images/japan/japaneses_government_mext_scholarship.jpg,Japanese Government (Monbukagakusho: MEXT) Scholarship for Undergraduate Studies 2023,https://www.scholarshipsads.com/-japanese-government-monbukagakusho-mext-scholarship-for-undergraduate-studies-2023/,Partially funded,Japan Universities,Undergraduate,All Subjects,International Students,Japan,
https://www.scholarshipsads.com/files/Featured%20Images/USA/golden_gate_university_undergraduate_ggu_scholars_award_2022.jpg,Golden Gate University California USA GGU Scholars Award (Full Tuition Fee) 2023,https://www.scholarshipsads.com/golden-gate-university-california-usa-ggu-scholars-award-full-tuition-fee-2023/,Full tuition fee,Golden Gate University,Undergraduate,"Accounting, Business, Data Analytics, Management, Psychology",International Students,USA,8/15/2022
https://www.scholarshipsads.com/files/Featured%20Images/USA/bau_global_scholarship_exam.jpg,Bay Atlantic University Washington USA Global Scholarship Exam 2023,https://www.scholarshipsads.com/bay-atlantic-university-washington-usa-global-scholarship-exam-2023/,"Partially funded, Full tuition fee",Bay Atlantic University,"Undergraduate, Graduate",All Subjects,International Students,USA,
https://www.scholarshipsads.com/files/Featured%20Images/denmark/technical_university_of_denmark_phd_scholarship_in_testing_lifetime_2022.jpg,Technical University of Denmark Kongens Lyngby PhD Scholarships 2022,https://www.scholarshipsads.com/technical-university-of-denmark-kongens-lyngby-phd-scholarships-2022/,Partially funded,Technical University of Denmark,PhD,All Subjects,"International Students, Domestic Students",Denmark,7/8/2022
https://www.scholarshipsads.com/files/Featured%20Images/Sweden/chalmers_university_of_technology_phd_position.jpg,Chalmers University of Technology Gothenburg Sweden PhD position in Formal Verification of Blockchain Applications 2022,https://www.scholarshipsads.com/chalmers-university-of-technology-gothenburg-sweden-phd-position-in-formal-2022/,Partially funded,Chalmers University of Technology,PhD,Computer Science,International Students,Sweden,7/15/2022
https://www.scholarshipsads.com/files/Featured%20Images/UK/uwe_bristol_faculty_of_arts_deans_bursary_2022.jpg,UWE Bristol England UK Faculty of Arts Dean's Bursary 2022/2023,https://www.scholarshipsads.com/uwe-bristol-england-uk-faculty-of-arts-deans-bursary-20222023/,Partially funded,UWE Bristol,Undergraduate,Arts,"International Students, Domestic Students",UK,
https://www.scholarshipsads.com/files/Featured%20Images/denmark/copenhagen_university_phd_positions_in_translational_disease_systems_biology_2023.jpg,Copenhagen University Denmark PhD positions in Translational Disease Systems Biology 2023,https://www.scholarshipsads.com/copenhagen-university-denmark-phd-positions-in-translational-disease-systems-biology-2023/,Partially funded,University of Copenhagen,PhD,Biology,International Students,Denmark,7/7/2022
https://www.scholarshipsads.com/files/Featured%20Images/Australia/macquarie_university_in_australia_sponsored_student_grant_2023.jpg,Macquarie University Sydney Australia Sponsored Student Grant 2023,https://www.scholarshipsads.com/macquarie-university-sydney-australia-sponsored-student-grant-2023/,Partially funded,Macquarie University,"Postgraduate, Undergraduate",All Subjects,International Students,Australia,
